"10/01/18, 17:30:07, 0000001005, 33, 02"
"10/01/18, 17:29:58, 0000001075, 33, 02"
"10/01/18, 17:29:29, 0000001026, 33, 02"
"10/01/18, 17:16:23, 0000001844, 33, 02"
"10/01/18, 15:40:08, 0000001091, 33, 47"
"10/01/18, 15:37:07, 0000001090, 33, 47"
"10/01/18, 15:28:46, 0000001093, 33, 47"
"10/01/18, 15:24:52, 0000001816, 33, 51"
"10/01/18, 15:24:44, FFFFFFFFFF, 35, 00"
"10/01/18, 15:00:53, 0000001844, 33, 55"
"10/01/18, 14:58:33, 0000001005, 33, 21"
"10/01/18, 14:58:23, 0000001005, 33, 02"
"10/01/18, 14:58:01, 0000001076, 33, 44"
"10/01/18, 14:56:46, 0000001026, 33, 45"
"10/01/18, 14:49:41, 0000001094, 33, 36"
"10/01/18, 14:43:55, 0000001075, 33, 21"
"10/01/18, 14:43:47, FFFFFFFFFF, 35, 00"
"10/01/18, 13:45:38, 0000001091, 33, 02"
"10/01/18, 13:45:09, 0000001093, 33, 02"
"10/01/18, 13:38:03, 0000001090, 33, 02"
"10/01/18, 13:34:25, 0000001816, 33, 02"
"10/01/18, 13:34:14, FFFFFFFFFF, 35, 00"
"10/01/18, 13:18:48, 0000001844, 33, 02"
"10/01/18, 13:05:19, 0000001094, 33, 02"
"10/01/18, 13:04:38, 0000001005, 33, 02"
"10/01/18, 13:04:32, 0000001076, 33, 02"
"10/01/18, 13:04:25, 0000001075, 33, 02"
"10/01/18, 13:04:05, 0000001026, 33, 02"
"10/01/18, 08:55:40, 0000001111, 33, 47"
"10/01/18, 08:47:37, 0000001816, 33, 51"
"10/01/18, 08:45:27, 0000001090, 33, 47"
"10/01/18, 08:38:05, 0000001091, 33, 47"
"10/01/18, 08:33:54, 0000001093, 33, 47"
"10/01/18, 07:13:10, 0000001844, 33, 55"
"10/01/18, 07:13:02, FFFFFFFFFF, 35, 00"
"10/01/18, 07:03:58, 0000001026, 33, 01"
"10/01/18, 07:03:54, FFFFFFFFFF, 35, 00"
"10/01/18, 06:53:25, 0000001094, 33, 36"
"10/01/18, 06:52:07, 0000001075, 33, 21"
"10/01/18, 06:47:11, 0000001005, 33, 21"
"10/01/18, 06:45:01, 0000001076, 33, 44"
"10/01/18, 06:44:55, FFFFFFFFFF, 35, 00"
"09/01/18, 20:33:41, 0000001094, 33, 02"
"09/01/18, 19:09:41, 0000001816, 33, 02"
"09/01/18, 18:54:27, 0000001094, 33, 39"
"09/01/18, 18:48:08, 0000001091, 33, 02"
"09/01/18, 18:47:59, 0000001090, 33, 02"
"09/01/18, 18:47:20, 0000001093, 33, 02"
"09/01/18, 18:33:47, 0000001844, 33, 02"
"09/01/18, 17:35:39, 0000001076, 33, 02"
"09/01/18, 17:30:33, 0000001094, 33, 02"
"09/01/18, 17:30:16, 0000001075, 33, 02"
"09/01/18, 17:15:40, 0000001026, 33, 02"
"09/01/18, 16:57:30, 0000001025, 33, 02"
"09/01/18, 16:53:08, 0000001002, 33, 02"
"09/01/18, 16:52:59, 0000001738, 33, 02"
"09/01/18, 16:52:54, FFFFFFFFFF, 35, 00"
"09/01/18, 15:42:57, 0000001091, 33, 47"
"09/01/18, 15:36:55, 0000001090, 33, 47"
"09/01/18, 15:01:28, 0000001844, 33, 55"
"09/01/18, 14:57:35, 0000001026, 33, 45"
"09/01/18, 14:57:26, 0000001002, 33, 3D"
"09/01/18, 14:56:59, 0000001738, 33, 3D"
"09/01/18, 14:53:16, 0000001025, 33, 38"
"09/01/18, 14:53:01, 0000001076, 33, 44"
"09/01/18, 14:50:09, 0000001094, 33, 36"
"09/01/18, 14:45:27, 0000001075, 33, 21"
"09/01/18, 14:45:21, FFFFFFFFFF, 35, 00"
"09/01/18, 14:43:57, 0000001816, 33, 51"
"09/01/18, 14:10:32, 0000001816, 33, 02"
"09/01/18, 14:10:20, FFFFFFFFFF, 35, 00"
"09/01/18, 14:10:15, FFFFFFFFFF, 35, 00"
"09/01/18, 13:51:16, 0000001091, 33, 02"
"09/01/18, 13:51:01, 0000001091, 33, 02"
"09/01/18, 13:45:29, 0000001090, 33, 02"
"09/01/18, 13:39:16, 0000001093, 33, 02"
"09/01/18, 13:19:11, 0000001844, 33, 02"
"09/01/18, 13:08:33, 0000001002, 33, 02"
"09/01/18, 13:07:28, 0000001005, 33, 02"
"09/01/18, 13:07:02, 0000001076, 33, 02"
"09/01/18, 13:06:58, FFFFFFFFFF, 35, 00"
"09/01/18, 13:06:50, 0000001738, 33, 02"
"09/01/18, 13:06:32, 0000001094, 33, 02"
"09/01/18, 13:06:25, 0000001011, 33, 02"
"09/01/18, 13:06:17, 0000001011, 33, 02"
"09/01/18, 13:06:09, 0000001118, 33, 02"
"09/01/18, 13:06:00, 0000001015, 33, 02"
"09/01/18, 13:05:52, 0000001040, 33, 02"
"09/01/18, 13:05:43, 0000001026, 33, 02"
"09/01/18, 13:02:41, 0000001075, 33, 02"
"09/01/18, 13:02:34, FFFFFFFFFF, 35, 00"
"09/01/18, 12:44:04, 0000001025, 33, 02"
"09/01/18, 12:31:27, 0000001845, 33, 02"
"09/01/18, 11:04:46, 0000001111, 33, 02"
